agent,model,runs,tasks,successful_runs,pass_rate_micro,median_duration_seconds,median_steps,median_tool_calls,trajectory_coverage,cost_field_coverage,positive_cost_coverage,median_positive_cost_usd,mean_suspected_waste_rate,mean_error_event_rate,mean_repeat_rate,missing_verification_rate,dataset_revision,snapshot_cutoff,pass_rate_macro_by_task,pass_rate_wilson_low,pass_rate_wilson_high,cost_metrics_eligible,public_rank_eligible,observed_cost_per_success_usd
codex,gpt-5.2@openai,445,89,280,0.6292134831460674,762.3090209960938,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-18 14:05:50.058055+00:00,0.6292134831460674,0.5834079731633646,0.6728071370225006,false,true,
openhands,claude-opus-4-1-20250805@anthropic,445,89,164,0.3685393258426966,519.5880126953125,73.0,65.0,0.9887640449438202,1.0,0.9887640449438202,2.2269921875,0.0,0.04653924294419875,0.5249076398282873,0.3550561797752809,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 09:35:20.106834+00:00,0.3685393258426966,0.3250205421285081,0.41430843272587264,true,true,9.20857054640607
Factory Droid,gemini-3-pro-preview@google,445,89,272,0.6112359550561798,309.47698974609375,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-23 21:44:44.155467+00:00,0.6112359550561798,0.5651758749009275,0.6553919156069044,false,true,
ii-agent-simple,gemini-3-pro-preview@gemini,445,89,275,0.6179775280898876,473.4410095214844,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-21 04:59:32.566661+00:00,0.6179775280898876,0.5720053284335531,0.6619302069535411,false,true,
letta-code,claude-opus-4-5@anthropic,445,89,263,0.5910112359550562,362.0849914550781,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-15 06:36:57.657522+00:00,0.5910112359550562,0.5447411446548924,0.6357234112151517,false,true,
terminus-2,gemini-3-flash-preview@gemini,445,89,230,0.5168539325842697,286.6889953613281,13.0,24.0,0.9977528089887641,1.0,0.0,,0.014818982878382054,0.07543111189783269,0.06575163672317129,0.7033707865168539,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-01-08 00:38:27.505244+00:00,0.5168539325842697,0.4704785231278751,0.5629408390702814,false,true,
claude-code,glm-4.7@z-ai,445,89,148,0.3325842696629214,293.5159912109375,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-07 07:32:39.301713+00:00,0.3325842696629214,0.29040645941973686,0.3776278760785772,false,true,
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,902,89,276,0.30598669623059865,727.0139770507812,26.0,31.0,1.0,1.0,0.9800443458980045,0.08926169872283934,0.014772834824247625,0.12044780123311413,0.06098333744564429,0.761640798226164,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-02 23:18:09.216086+00:00,0.300374531835206,0.27678827456109517,0.33683070694737155,true,true,1.0445321370056573
codex,gpt-5@openai,439,89,217,0.49430523917995445,232.58399963378906,16.0,11.0,0.9316628701594533,1.0,0.929384965831435,0.11318387508392333,0.0005897576227872355,0.11085654515765346,0.0031370955166488577,0.6902050113895216,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-05 12:07:52.479278+00:00,0.4960674157303371,0.44778810336528413,0.5409211777862608,true,true,0.3379972687844307
codex,gpt-5-mini@openai,437,89,138,0.3157894736842105,175.0970001220703,14.0,9.0,0.9382151029748284,1.0,0.9405034324942791,0.017281999588012697,0.0014281504812555077,0.10293032886637804,0.0019127379089039125,0.4919908466819222,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-05 12:07:57.478484+00:00,0.3185393258426966,0.2739731640961919,0.36081629316011055,true,true,0.09599525199096272
terminus-2,gemini-2.5-flash@gemini,439,89,75,0.17084282460136674,348.6919860839844,11.0,28.0,0.9977220956719818,1.0,1.0,0.05214004993438721,0.010901411616232572,0.058585917231238044,0.06857610935829132,0.7015945330296127,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,,0.16853932584269662,0.13852722916708143,0.2088692213922156,true,true,0.8143762970368067
codex,gpt-5.1-codex-max@openai,445,89,269,0.604494382022472,472.1650085449219,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-25 01:53:28.493116+00:00,0.6044943820224719,0.5583554128667828,0.6488446327617866,false,true,
terminus-2,deepseek-v3.2@deepseek,445,89,176,0.3955056179775281,627.3889770507812,17.0,47.0,0.8382022471910112,1.0,1.0,0.00958244025707245,0.0024332392404372476,0.06136045967151351,0.021052970203697424,0.6898876404494382,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-08 07:07:49.616123+00:00,0.39550561797752815,0.3511553672382136,0.4416445871332173,true,true,0.031069019419056446
terminus-2,claude-haiku-4-5-20251001@anthropic,439,89,125,0.2847380410022779,386.09698486328125,25.0,32.0,1.0,1.0,0.9954441913439636,0.11704850196838379,0.017860060904894608,0.0733790734338927,0.06773811532979553,0.642369020501139,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,,0.28314606741573034,0.24453126447353563,0.32867956305486284,true,true,0.8292416260623932
mux,claude-opus-4-6@anthropic,445,89,296,0.6651685393258427,509.7439880371094,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-10 03:24:35.889622+00:00,0.6651685393258427,0.6200715152215682,0.7074382343203639,false,true,
mini-swe-agent,gpt-5-mini@openai,445,89,99,0.22247191011235956,319.81500244140625,8.0,6.0,0.9752808988764045,1.0,0.9730337078651685,0.027685399055480956,0.006216916354603316,0.1567229966796131,0.009131345715118758,0.46292134831460674,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-03 22:17:37.141535+00:00,0.22247191011235956,0.1862966517005953,0.2633978507697641,true,true,0.23463422633180714
terminus-2,gpt-5-codex@openai,437,89,193,0.4416475972540046,743.4639892578125,16.0,23.0,1.0,1.0,0.9954233409610984,0.24826475143432616,0.01382830372912737,0.06135824730978115,0.07826462818315463,0.43935926773455375,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,,0.4342696629213483,0.3957972025246826,0.4885149857987425,true,true,0.7758159499835474
terminus-2,moonshotai/kimi-k2-instruct-0905@together_ai,923,89,258,0.27952329360780065,397.5530090332031,33.0,33.0,1.0,1.0,1.0,0.36778400421142576,0.006891396854706105,0.08946103152175525,0.05336625884276311,0.8082340195016251,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-01 20:03:35.204668+00:00,0.27790262172284647,0.2515310370749011,0.30934322666121084,true,true,3.1623170879829763
mini-swe-agent,gemini-2.5-flash@gemini,445,89,76,0.1707865168539326,313.6080017089844,19.0,17.0,0.9707865168539326,1.0,0.9685393258426966,0.05486673831939697,0.009222778238630703,0.11191373059811661,0.011909208744395992,0.6674157303370787,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-03 22:17:06.191883+00:00,0.1707865168539326,0.13867514430831013,0.20853331408770315,true,true,2.079014277211145
terminus-2,gpt-5@openai,438,89,156,0.3561643835616438,506.3665008544922,7.0,25.0,0.9954337899543378,1.0,0.997716894977169,0.15770600318908692,0.0058027011163849914,0.01658191048986868,0.04046450731244382,0.5136986301369864,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-10-31 13:37:47.053248+00:00,0.35168539325842696,0.31274601105820166,0.40208391894386253,true,true,0.8076614893629002
terminus-2,minimax-m2.5@minimax,445,89,188,0.42247191011235957,926.2639770507812,21.0,24.0,0.9235955056179775,1.0,0.0,,0.008141720841268687,0.06454541927474758,0.04907190580109806,0.5685393258426966,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-18 02:55:27.506195+00:00,0.42247191011235957,0.3774328808288414,0.46883805305963966,false,true,
openhands,grok-4-0709@xai,444,89,121,0.2725225225225225,964.6530151367188,39.0,32.0,0.9617117117117117,1.0,0.7567567567567568,0.10119404792785644,0.0,0.052411164316865384,0.501749551185935,0.16441441441441443,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 05:13:19.402989+00:00,0.27191011235955054,0.2331890049665418,0.31575865867167313,false,true,
judy,claude-opus-4-6@anthropic,445,89,320,0.7191011235955056,598.3209838867188,0.0,0.0,0.35280898876404493,1.0,0.0,,0.08859031329216728,0.017813941021988664,0.19233919823501558,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-13 06:42:52.777636+00:00,0.7191011235955056,0.6756040644858651,0.7588476440901671,false,true,
mini-swe-agent,grok-4-0709@xai,445,89,113,0.2539325842696629,935.52099609375,18.0,16.0,0.9280898876404494,1.0,0.6,0.0422700023651123,0.004198538606839551,0.07556616242904021,0.007319856789660784,0.651685393258427,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-03 22:17:03.086743+00:00,0.2539325842696629,0.2157158300971683,0.29636148180974947,false,true,
claude-code,minimax-m2.1@minimax,445,89,163,0.36629213483146067,464.27899169921875,57.0,24.0,0.9887640449438202,1.0,0.0,,0.005595020062332454,0.07671844029184596,0.01751100668753655,0.8921348314606742,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-22 07:51:15.203136+00:00,0.36629213483146067,0.322849251761656,0.41202380813297057,false,true,
terminus-2,grok-code-fast-1@xai,445,89,63,0.14157303370786517,214.88999938964844,7.0,16.0,1.0,1.0,0.9887640449438202,0.005587489902973175,0.0033244798314511193,0.06569199905284365,0.08124786594510672,0.6606741573033708,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,,0.14157303370786517,0.11224359467751019,0.17703796924169876,true,true,0.06492845597957807
mini-swe-agent,openai/gpt-oss-20b@together_ai,888,89,30,0.033783783783783786,95.50650024414062,6.0,3.0,0.9977477477477478,1.0,0.9954954954954955,0.0014795249700546263,0.017267342267342268,0.12096584848326335,0.09120235829944287,0.5754504504504504,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 08:39:13.007406+00:00,0.033707865168539325,0.023765369653338968,0.04781864257484147,true,true,0.24451696377868454
Factory Droid,claude-opus-4-6@anthropic,445,89,311,0.698876404494382,318.2359924316406,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-01-30 05:57:19.920185+00:00,0.698876404494382,0.6546994587979859,0.7396490151402587,false,true,
codex,gpt-5-codex@openai,436,89,193,0.4426605504587156,476.6094970703125,0.0,0.0,0.3853211009174312,1.0,0.3830275229357798,0.09452775001525879,0.0025452900665501347,0.035699163057222434,0.006934942160018096,0.14678899082568808,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-05 12:07:54.747137+00:00,0.44325842696629214,0.39673885941306625,0.4895838531270846,false,true,
mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,442,89,188,0.4253393665158371,399.9014892578125,31.0,29.0,0.9479638009049773,1.0,0.9479638009049773,0.2982711029052734,0.002407784181111811,0.08441646028321158,0.0037063479958784565,0.7013574660633484,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 05:12:36.617286+00:00,0.4252808988764045,0.3800859284501293,0.4718794332388651,true,true,1.4747245329491636
terminus-3-3,claude-opus-4-6@anthropic,442,89,331,0.748868778280543,659.5820112304688,11.0,19.0,0.5588235294117647,1.0,1.0,0.649635,0.015400698636180018,0.028602956714657627,0.04696169592566812,0.3733031674208145,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-13 06:45:06.345954+00:00,0.7471910112359551,0.706412399601149,0.7870363947688696,true,true,1.1340115544142249
ruley,gemini-3-pro-preview@google,445,89,277,0.6224719101123596,435.37701416015625,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-05 07:43:35.261198+00:00,0.6224719101123596,0.576563335738272,0.6662840295683308,false,true,
claude-code-enhanced,claude-opus-4-6@anthropic,398,89,263,0.6608040201005025,486.4729919433594,0.0,0.0,0.0,1.0,0.8919597989949749,0.01702999949455261,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-19 03:15:26.997626+00:00,0.6687265917602996,0.6129508830777167,0.7055825888176769,true,true,0.13876262374845522
claude-code,claude-opus-4-6@anthropic,445,89,258,0.5797752808988764,269.5140075683594,33.0,21.0,0.9775280898876404,1.0,0.0,,0.009645444472013313,0.052037097044045334,0.026685434863695835,0.8314606741573034,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-07 08:07:25.245578+00:00,0.5797752808988764,0.5334227327813897,0.6247622482898835,false,true,
openhands,claude-sonnet-4-5-20250929@anthropic,443,89,188,0.42437923250564336,558.2059936523438,81.0,75.0,0.9887133182844243,1.0,0.9887133182844243,0.5387522888183593,0.0,0.038252415347008024,0.5244727040129403,0.48306997742663654,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 07:03:36.369737+00:00,0.4258426966292135,0.3791974197250962,0.4708613035450739,true,true,1.852915444576994
